"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"145",145,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:44:29",FALSE,NA,1125864000774782976,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kyle4Littleton",14,TRUE,FALSE,NA,NA
"146",146,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:43:07",FALSE,NA,1125863654954553344,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NikkiEsposito16",14,TRUE,FALSE,NA,NA
"147",147,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:42:26",FALSE,NA,1125863483256393728,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peggytran",14,TRUE,FALSE,NA,NA
"148",148,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:41:28",FALSE,NA,1125863240725037056,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DemandaCourt",14,TRUE,FALSE,NA,NA
"149",149,"RT @LPSK12: All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured Perimeter: s…",FALSE,0,NA,"2019-05-07 20:40:21",FALSE,NA,1125862958829989888,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","karlfisch",14,TRUE,FALSE,NA,NA
"150",150,"All LPS schools are on secured perimeter due to a reported shooting at the STEM School in Highlands Ranch. Secured… https://t.co/2imF5zfVJw",FALSE,11,NA,"2019-05-07 20:40:14",TRUE,NA,1125862929587265536,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LPSK12",14,FALSE,FALSE,NA,NA
"176",176,"https://t.co/JmXe66Djw8",FALSE,1,NA,"2019-05-07 04:45:36",FALSE,NA,1125622688276336640,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GibsonGH",0,FALSE,FALSE,NA,NA
"192",192,"We are so grateful to have been part of Comcast Cares Day 2019! An incredible 74 volunteers showed up to take dogs… https://t.co/ZT9QbOlK4c",FALSE,3,NA,"2019-05-07 00:45:22",TRUE,NA,1125562229192056832,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","HSSPV",0,FALSE,FALSE,NA,NA
"218",218,"@ERPropes I’ve seen this on Anthony Bourdain. It’s really beautiful! Don’t people live on the boats?",FALSE,0,"ERPropes","2019-05-06 15:26:06",FALSE,1125420049437581312,1125421488419557376,518409082,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","doxie03",0,FALSE,FALSE,NA,NA
"221",221,"Workshop/Regular Meeting Thursday, May 9, 2019 https://t.co/jLZaAgSjvC",FALSE,0,NA,"2019-05-06 14:04:01",FALSE,NA,1125400828662157312,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LPSK12",0,FALSE,FALSE,NA,NA
